,0,1
393,ルターが批判した、カトリック教会が発行した罪の償いを軽減する証明書は？,贖宥状(免罪符)
394,スイスのジュネーブで宗教改革をした人物は？,カルバン
395,イグナティウス・ロヨラやフランシスコ・ザビエルらが作った修道会は？,イエズス会
396,イギリス王を首長キリスト教教会。,イギリス国教会
397,イギリスの絶対王政の最盛期の女王といえば？スペインの無敵艦隊を撃破した。,エリザベス1世
398,1642年イギリスにおける王政派を共和制派が破った革命といえば？,清教徒革命(ピューリタン革命)
399,1642年の清教徒革命の後共和制政権下で政治をした人物は？,クロムウェル
400,1688年イギリスで起こった無血革命といえば？,名誉革命
401,『諸国民の富』（『国富論』）を著した人,アダム・スミス
402,『法の精神』を著した人物は？,モンテスキュー
403,『社会契約論』を著した人物は？,ルソー
404,『市民政府二論』を著した人物は？,ロック
405,フランスの絶対王政の代表的な人物は？『朕は国家なり』という言葉が有名。,ルイ１４世
406,1789年から始まるフランスにおける一連の革命といえば？,フランス革命
407,フランス革命で処刑されたルイ16世王妃は？,マリー・アントワネット
408,1804年フランス皇帝となった人物は？,ナポレオン
409,ナポレオンによって乱されたヨーロッパの戦後処理として行われた会議は？,ウィーン会議
410,エリザベス1世により設立され、アジア貿易を独占した会社は？,東インド会社 
411,大英帝国最盛期の女王といえば？,ヴィクトリア女王
412,1840年、イギリスと清との間で起こった戦争は？,アヘン戦争
413,1858年、セポイの反乱等を抑え込み結果的にイギリスによって滅ぼされたインドの帝国は？,ムガール帝国
414,アヘン戦争後の講和条約といえば？,南京条約
415,プロイセンの首相で鉄血政策を行った人といえば？,ビスマルク
416,1773年植民地人の急進派が東インド会社のお茶を投棄した事件は？,ボストン茶会事件
417,1775年から始まったアメリカとイギリスとの戦いといえば？,アメリカ独立戦争
418,初代アメリカ大統領は？,ワシントン
419,アメリカ独立宣言を起草した3代アメリカ大統領は？,ジェファーソン
420,1861年～1865年にかけてのアメリカ内部の戦争といえば？,南北戦争
421,1863年ゲチスバーグで奴隷解放宣言の演説をしたアメリカ大統領は？『人民の人民による人民のための政治』という言葉で有名。,リンカーン
422,イスラム教の開祖は?,ムハンマド(マホメット)
423,イスラム教の人をカタカタ4文字で何という？,ムスリム
424,イスラム教の経典を何という？,コーラン(クルアーン)
425,ムハンマドの後継者のことを何という？,カリフ
426,7世紀から13世紀までアラビア半島を支配した帝国は？,イスラム帝国
427,アラビア語文化の傑作で大小数百の逸話が含んでいるものといえば？,アラビアンナイト(千夜一夜物語)
428,13世紀から1922年までトルコを中心に栄えた帝国は？,オスマン帝国(オスマントルコ)
429,後漢末の184年から始まる農民の大反乱は？,黄巾の乱
430,後漢滅亡後始まった三国時代の三国とは？,魏・呉・蜀
431,208年魏vs呉蜀連合軍の戦いは？三国志で最も大きな戦いで映画『レッドクリフ』で扱われた。,赤壁の戦い
432,581年中国を統一した王朝は？,隋
433,618年中国を統一した王朝は？,唐
434,唐の都は？,長安
435,唐の玄宗皇帝が寵愛した世界三大美女の一人は？,楊貴妃
436,960年中国を統一した王朝は？,宋
437,ユーラシア大陸にまたがるモンゴル人の大帝国を建国した人は？,チンギス・ハン
438,南宋を滅ぼし中国の国号を元とした人は？,フビライ・ハン
439,1368年朱元璋が元を中国本土から追い出し建国した国は？,明
440,1636年に満洲において建国され、1644年～1912年まで中国を支配した最後の統一王朝は？,清
441,アヘンを厳禁し、その後のイギリスとのアヘン戦争に徹底抗戦した清末の政治家は？,林則徐
442,1851～1864まで続いた中国最大級の大反乱といえば？,太平天国の乱
443,6の乱を指揮していた人は？,洪秀全
444,1900年、清で起きた反帝国主義闘争は？,義和団事件
445,辛亥革命を起こした中心人物は誰。中国国民党を創設した。,孫文
446,朝鮮古代3国の一つで668年に滅ぼされた国は？,高句麗
447,朝鮮古代3国の一つで日本に仏教を伝えた国は？,百済(くだら、ひゃくさい)
448,朝鮮古代3国の一つで676年、朝鮮を統一した国は？,新羅(しんら、しらぎ)
449,1392年建国され日本による韓国併合まで続いた王朝は,李氏朝鮮
450,豊臣秀吉の朝鮮侵略により水軍を指揮し日本水軍を追い払ったことで朝鮮では英雄視されている人物は？,"李舜臣(リシュンシン,イスンシン)"
451,1950～1953までの南北の戦争。,朝鮮戦争
452,朝鮮民主主義人民共和国の建国の父といえば,金日成
453,1914年、サラエボ事件を発端に起こった帝国主義戦争は？,第一次世界大戦
454,第一次世界大戦で勝利した側を英・仏・露の同盟のこと。三国同盟に対して何という？,三国協商
455,1915年日本が中国に対して出した要求は？,二十一カ条の要求
456,1917年のロシア革命により成立した社会主義国は？,ソビエト
457,1918年富山県で起きた米の価格が上がったことによって起きた事件は？,米騒動
458,平民宰相として初めて本格的な政党内閣を組閣した人は？,原敬
459,国際連盟設立のために尽くしたアメリカ大統領は？,ウィルソン
460,1919年パリ講和会議の結果、連合国とドイツの間に結ばれた条約は？,ベルサイユ条約
461,1919年から起こった朝鮮の反日独立運動は？,三・一独立運動
462,1919年、中国の反日闘争運動は？,五・四運動
463,国際連盟発足当初の常任理事国の4カ国といえば？,英・仏・伊・日
464,1923年、9月1日に日本を襲った事件は？,関東大震災
465,1925年制定した反政府的言論、思想などを取り締まった法律は？,治安維持法
466,白樺派の小説家。『人間万歳』『友情』が代表作。,武者小路実篤
467,白樺派の小説家で、『暗夜行路』『城の崎にて』が代表作。,志賀直哉
468,小説家で、『細雪』が代表作。,谷崎純一郎
469,代表作『鼻』『羅生門』などがある小説家は？,芥川龍之介
470,代表作『雪国』『伊豆の踊り子』などがある小説家は？,川端康成
471,歌集『赤光』が代表作である歌人といえば？,斉藤茂吉
472,代表作『蟹工船』の小説家といえば？,小林多喜二
473,1914年、第一次世界大戦が始まる引き金となった事件は？,サラエボ事件
474,第一次世界大戦の勝者側の三国協商の三とはどこの国か？,英・仏・露
475,アメリカ大統領ウィルソンの十四カ条の原則により成立した国際機関は？,国際連盟
476,1925年制定した普通選挙法において、納税の有無に問わず何歳以上の男子に選挙権を認めたか？,25歳
477,第一次世界大戦前後の都市化や工業化を背景とした民主主義の風潮のことを何という？,大正デモクラシー
478,大正デモクラシーの理論的指導者といえば？,吉野作造
479,1929年ニューヨークのウォール街の株式が大暴落して始まった大不況は？,世界恐慌
480,世界恐慌の結果ニューディール政策を実施したアメリカ大統領は？,フランクリン・ルーズベルト
481,世界恐慌の結果、主にイギリス・フランス・アメリカが行った他国の輸入を抑えて自国と属領の連携を強化した政策は？,ブロック経済政策
482,1931年、柳条湖事件を発端に起こった満州における中国VS日本の衝突は？,満州事変
483,1932年建国された満州国の皇帝は？,溥儀
484,1932年海軍青年将校らが起こした反乱は？,五・一五事件
485,五・一五事件で暗殺された当時の首相は？,犬養毅
486,1936年、昭和維新をめざす皇道派青年将校が起こしたクーデター未遂事件は？,二・二六事件
487,1937年、盧溝橋事件から始まった中国VS日本の戦争といえば？,日中戦争
488,"1937年、中国のある都市で死者数十万人以上と言われた事件といえば？日本側(そんな事実はない,規模が小さかったのでは？)と中国側との歴史認識の差がある謎の事件でもある。",南京事件(南京大虐殺)
489,1939年始まった第二次世界大戦を起こしたナチスドイツの党首は？,ヒトラー
490,第一次世界大戦後にファシスト党の党首としてイタリアの政権を握った人は？,ムッソリーニ
491,太平洋戦争の発端となった日本軍の攻撃は？,真珠湾攻撃
492,太平洋戦争勃発時の日本軍首相は？,東条英機
493,1945年米・英・中が日本軍に降伏させようとした宣言は？,ポツダム宣言
494,第二次大戦中のソ連の指導者は？,スターリン
495,全体主義と略される暴力を政治の手段として使いながら強力な指導者の元で国民を統制したこと。,ファシズム
496,スペイン内戦の際ピカソが描いた作品,ゲルニカ
497,1939年第二次世界大戦はドイツがどこの国に侵攻して勃発したか？,ポーランド
498,第二次世界大戦の際ドイツと同盟を結んだ国の組み合わせとして正しいのはどれ,日本・イタリア
499,ドイツ軍のイギリス上陸を防いだイギリス首相は？,チャーチル
500,ヒトラーが迫害したのは人達は？,ユダヤ人
501,ユダヤ人迫害について日記で記録を残した少女は？,アンネ・フランク
502,ナチスによるユダヤ人などの大迫害があったポーランドの収容所は？,アウシュビッツ
503,1938年に制定された、政府が議会の承認を得ずに、国民の徴兵や物資の徴発ができるようにした法律,国家総動員法
504,太平洋戦争前に作られた日本政府への全国民的協力組織。,大政翼賛会
505,ポツダム宣言に基づき置かれた対日占領機関は？,ＧＨＱ
506,ＧＨＱの最高司令官は？,マッカーサー
507,1946年11月3日に公布され47年5月3日に施行された憲法は？,日本国憲法
508,1946年1によって実施された農業の民主的改革は？,農地改革
509,日本のＡ級戦犯を裁いた裁判は？,極東国際軍事裁判(東京裁判)
510,1947年制定された戦後の教育法といえば？,教育基本法
511,1945年に発足した国際機関。本部はニューヨーク。,国際連合
512,東（社会主義）VS西（資本主義）による対立状態を何というか？,冷戦
513,中国の内戦で勝利し1949年中華人民共和国を建国した政治家は？,毛沢東
514,1950年から始まった南北朝鮮の武力闘争は？,朝鮮戦争
515,大韓民国に対して朝鮮民主主義人民共和国を建国した政治家は？,金日成
516,1951年アメリカで結ばれた、対日平和条約は？,サンフランシスコ平和条約
517,サンフランシスコ平和条約に出席した日本の首相は？『バカヤロー解散』で有名。,吉田茂
518,1955年、前年の第五福竜丸事件を受け開催され始めた会は？,原水爆禁止世界大会
519,1955年、アジア・アフリカの独立国29カ国が参加し植民地主義の排除や平和十原則などを採択した会議は？,アジア・アフリカ会議
520,1955年、アジア・アフリカの独立国29カ国が参加し植民地主義の排除や平和十原則などを採択したアジア・アフリカ会議が開催された場所は？,バンドン
521,1956年のソ連と日本の戦争終結宣言。結果として日本の国際連合の加盟が実現した。,日ソ共同宣言
522,ノーベル平和賞を受賞した日本の首相は？,佐藤栄作
523,1949年日本人として初めてノーベル賞を受賞した人物は？中間子理論でノーベル化学賞を受賞。,湯川秀樹
524,戦後成立したユダヤ人の国は？,イスラエル
525,イスラエル建国後ユダヤ人とパレスチナ人との間の度重なる戦争は？,中東戦争
526,1949年ソ連の脅威を恐れて西側12カ国が結成した軍事同盟は？,ＮＡＴＯ
527,1955年、ＮＡＴＯに対して東側の国の軍事同盟は？,ワルシャワ条約機構
528,1962年、ソ連がアメリカの近くにミサイル基地を建設した事件といえば？,キューバ危機
529,朝鮮戦争の休戦ラインは北緯何度？,38度
530,消費者の4つの権利を提唱したアメリカ大統領は？,ケネディ
531,スターリンの批判を行ったことで知られるソ連の政治家は？,フルシチョフ
532,人類初の宇宙飛行を成功させ、「地球は青かった」という名言を残したソ連の人物は？,ガガーリン
533,1969年、人類で初めて月に降り立った人物は？,アームストロング
534,発展途上国と先進国の間の経済格差のことを何というか？,南北問題
535,冷戦の代理戦争の一つで東南アジアにて1965年から十年間にわたって戦争が起こり社会主義陣営が勝利した国は？,ベトナム
536,1972年の日本と中国の間に結ばれた国交正常化声明は？日本の上野動物公園にパンダが来たことで知られる。,日中共同声明
537,1978年に結ばれた日中間の友好の条約は？,日中平和友好条約
538,1973年第四次中東戦争により石油の値段が急激に上がった世界的な事件は？,第一次オイルショック
539,ソ連のゴルバチョフの民主化改革政策といえば？,ペレストロイカ
540,東西の冷戦状態が回復されることを何というか？,デタント
541,1986年旧ソ連ウクライナのキエフ郊外の大量放射能漏れがあった原発は？,チェルノブイリ
542,『羅生門』『七人の侍』『影武者』などの映画作品の監督は？,黒沢明
543,ノーベル文学賞を受賞した人。『飼育』が代表作。,大江健三郎
544,日本列島改造論を唱えた日本の首相は？,田中角栄
545,南アフリカ共和国で行われた人種差別政策は？,アパルトヘイト
546,ソ連が1979年軍事介入した国は？翌年モスクワオリンピックで西側諸国がボイコットした。,アフガニスタン
547,冷戦終結のマルタ会談に出席したアメリカ大統領は？,ブッシュ
548,1980年～88年にかけて中東で起こった戦争は？,イラン・イラク戦争
549,1973年のオイルショックの原因となった戦争は？,第四次中東戦争
550,田中角栄が逮捕された事件は？,ロッキード事件
551,1982年のフォークランド戦争でイギリスと領有権で争った国は？,アルゼンチン
552,1979年～1990年まで在任したイギリス初の女性首相は？,サッチャー
553,1985年ドル高是正のために各国が協調介入することを決めた合意を何というか？,プラザ合意
554,1989年消費税を導入した首相は？,竹下登
555,1997年消費税を5%に上げた際の首相は？,橋本龍太郎
556,東西冷戦の終結を話し合った会談は？,マルタ会談
557,1991年イラクがクウェートに侵攻して始まった戦争は？,湾岸戦争
558,ＥＵ結成の際に結ばれた条約は？,マーストリヒト条約
559,2001年同時多発テロの後、アメリカが攻めた国は？,アフガニスタン
560,アパルトヘイトを撤廃して1994年に南アフリカ共和国の初の黒人大統領になった人は？,マンデラ
561,2001年～2006年まで長期間にわたる日本の内閣総理大臣といえば？,小泉純一郎
562,2001年～2009年までアメリカの大統領は？9・11テロやイラク戦争などの問題に向き合った。,ブッシュ
563,2008年9月に倒産し、世界金融危機の引き金となった会社は？,リーマン・ブラザーズ
564,2000年～2008年までロシア連邦の大統領を務めた人は？,プーチン
565,1991年の湾岸戦争はイラクがどこの国に侵攻して勃発したか？,クウェート
566,2001年同時多発テロの後、アメリカが攻めたアフガニスタンが支配していた政権は？,タリバン
567,ミャンマーにおける非暴力民主化運動の指導者は？,アウンサンスーチー
568,2001年同時多発テロの容疑者となったアルカイダのリーダーは？,オサマ・ビン・ラディン
569,イラン・イラク戦争、湾岸戦争、イラク戦争などに関わり、大量虐殺などの罪で死刑執行されたイラクの元大統領は？,サダム・フセイン
570,アメリカ合衆国の首都は？,ワシントンDC
571,イギリスの首都は？,ロンドン
572,フランスの首都は？,パリ
573,ドイツの首都は？,ベルリン
574,中華人民共和国の首都は？,北京
575,大韓民国の首都は？,ソウル
576,朝鮮民主主義人民共和国の首都は？,ピョンヤン
577,ロシア連邦の首都は？,モスクワ
578,イタリアの首都は？,ローマ
579,オーストリアの首都は？,ウィーン
580,オーストラリアの首都は？,キャンベラ
581,カナダの首都は？,オタワ
582,メキシコの首都は？,メキシコシティー
583,ブラジルの首都は？,ブラジリア
584,ギリシャの首都は？,アテネ
585,インドの首都は？,ニューデリー(デリー)
586,シンガポールの首都は？,シンガポール
587,アルゼンチンの首都は？,ブエノスアイレス
588,エジプトの首都は？,カイロ
589,イスラエルの首都は？,エルサレム(イスラエルが主張)、テルアビブ(国連はこちらを首都と見なしている)
590,タイの首都は？,バンコク
591,オランダの首都は？,アムステルダム
592,ワシントンDC,アメリカ合衆国
593,ロンドン,イギリス
594,パリ,フランス
595,ベルリン,ドイツ
596,北京,中華人民共和国
597,ソウル,大韓民国
598,ピョンヤン,朝鮮民主主義人民共和国
599,モスクワ,ロシア連邦
600,ローマ,イタリア
601,ウィーン,オーストリア
602,キャンベラ,オーストラリア
603,オタワ,カナダ
604,メキシコシティー,メキシコ
605,ブラジリア,ブラジル
606,アテネ,ギリシャ
607,ニューデリー(デリー),インド
608,シンガポール,シンガポール
609,ブエノスアイレス,アルゼンチン
610,カイロ,エジプト
611,エルサレム,イスラエル
612,バンコク,タイ
613,アムステルダム,オランダ
614,世界一長い川は？,ナイル川
615,世界一流域面積の広い川は？,アマゾン川
616,アジアで最も長い川は？,長江(揚子江)
617,世界で4番目に長い北アメリカを流れる川は？,ミシシッピ川
618,中国で二番目に長い川は？,黄河
619,ヨーロッパの国際河川の一つでアルプスから北海へ流れる川は？,ライン川
620,ヨーロッパの国際河川の一つでアルプスから黒海へ流れる川は？,ドナウ川
621,アフリカでナイル川に次ぐ長さで、世界で2番目に流域面積の広い川は？,コンゴ川
622,アメリカとメキシコの国境を流れる河川は？,リオグランデ川
623,五大湖から大西洋に流れる河川は？,セントローレンス川
624,中国から東南アジア各地の国境を通りベトナムで南シナ海に流れる国際河川は？,メコン川
625,インド北西部、パキスタンを流れる河川といえば？,インダス川
626,"インド北東部、バングラデシュを流れる河川,ヒンドゥー教では聖なる川とされている。",ガンジス川
627,南アメリカ(アルゼンチン・ウルグアイ国境)を流れる国際河川といえば？,ラプラタ川
628,かつてメソポタミア文明を栄えさせた二つの川は？,"チグリス川,ユーフラテス川 "
629,標高8848ｍの世界一高い山は?,エベレスト
630,標高8611ｍの世界で二番目に高い山は?,K2
631,アフリカ大陸最高峰5895mの山は？,キリマンジャロ
632,西ヨーロッパ最高峰の山は？,モンブラン
633,アルプス山脈の登頂が困難なことで知られる山(テレビ番組『ウリナリ』『世界の果てまで行ってQ』の企画にもなった),マッターホルン
634,北米大陸最高峰のアラスカにある山。マッキンリーと呼ばれていたが2015年8月に改名された。,デナリ
635,南米大陸最高峰の山。アルゼンチンとチリの国境にある。,アコンカグア
636,世界で三番目に高い山は?,カンチェンジュンガ
637,ヒマラヤ山脈にある世界で四番目に高い山は?,ローツェ
638,(参考)火星にある太陽系で最も高い山は？,オリンポス山
639,地球上で最も標高の高いと言われる山脈。エベレストがある。,ヒマラヤ山脈
640,西ヨーロッパの中央部に連なる山脈。,アルプス山脈
641,北アメリカ大陸の西側に連なる山脈。,ロッキー山脈
642,南アメリカ大陸を南北に連なる山脈。,アンデス山脈
643,アフリカ北西部に連なる山脈。,アトラス山脈
644,フランスとスペインの国境となっている山脈。,ピレネー山脈
645,太平洋を囲む造山帯といえば？,環太平洋造山帯
646,ユーラシア大陸の南部に、東西につらなる造山帯のことを何というか？,アルプス・ヒマラヤ造山帯
647,世界で一番大きな島は？,グリーンランド
648,インドネシアを構成する主要な3つの島は？,スマトラ島、ジャワ島、カリマンタン(ボルネオ)島
649,"イギリスの主要な島でロンドン,マンチェスターなどの主要都市がある。",グレートブリテン島
650,日本では樺太と呼んでいるかつて日本領だった島は？,サハリン
651,フィリピンを構成する主な島2つといえば？,"ルソン島,ミンダナオ島"
652,ハワイを構成する主な島4つの島といえば？,"ハワイ島,オアフ島,マウイ島,カウアイ島"
653,スペインとポルトガルが含まれる半島は？,イベリア半島
654,"ギリシャ,ブルガリア,旧ユーゴスラヴィア等が含まれる、ヨーロッパの火薬庫と呼ばれる半島は？",バルカン半島
655,"タイ,ラオス,ミャンマー,ベトナム,カンボジア島が含まれる半島は？",インドシナ半島
656,世界最大の半島は？,アラビア半島
657,世界の六大陸といえば？,北アメリカ大陸・南アメリカ大陸・ユーラシア大陸・アフリカ大陸・オーストラリア大陸・南極大陸
658,三大洋といえば？,"太平洋,大西洋,インド洋"
659,ヨーロッパとアフリカの間の海は？,地中海
660,世界一広い砂漠は？,サハラ砂漠
661,世界一広い湖は？,カスピ海
662,世界で一番深い湖は？,バイカル湖
663,アラビア半島とアフリカ北西部の間の海といえば？,紅海
664,アフリカ最大の湖でナイル川の源流となっている。,ビクトリア湖
665,アメリカの五大湖を西側(上流)から順に5つ答えなさい。,スペリオル湖、ミシガン湖、ヒューロン湖、エリー湖、オンタリオ湖
666,地表で最も低い位置にある湖。塩分濃度が高いため浮力が高い。,死海
667,サウジアラビア、アラブ首長国連邦、オマーン、イエメンを覆う砂漠は？,ルブアルハリ砂漠
668,ヨーロッパとアジアの間にある内海。トルコの北にある。,黒海
669,世界の気候帯を6つ答えなさい。,熱帯・乾燥帯・温帯・冷帯・寒帯・高山帯
670,年中西からの風が吹く風。ヨーロッパや日本の気候に影響を与えている。,偏西風
671,日本や東南アジアに見られる季節によって風向きが変わる風といえば？,モンスーン(季節風)
672,砂漠で水が得られる場所のことを何というか？,オアシス
673,寒帯地域に見られる夏の間、雪や氷が溶けてコケ類が見られる湿地帯のこと。,ツンドラ
674,シベリア周辺などに広がる針葉樹林地帯のこと。,タイガ
675,乾燥帯で見られる、短い草が生えた草原のことを何というか？,ステップ
676,熱帯地方で雨季と乾季があるところに広がる、樹木がまばらに生える草原のこと。,サバナ(サバンナ)
677,赤道付近を一年を通してふく東よりの風を何というか？,貿易風
678,熱帯雨林地方で突発的に降る激しい雨を何というか？,スコール
679,EUの本部がある都市は？,ブリュッセル(ベルギーの首都)
680,イタリアのローマにある世界最小の国は？,バチカン市国
681,西ヨーロッパの国で日本より面積の大きい国は？,"フランス,スペイン,スウェーデン"
682,長靴の形をした国といえば？,イタリア
683,EUの母体となったベネルクス三国といえば？,ベルギー・オランダ・ルクセンブルク
684,"1992年に夏季オリンピックが開催され,サッカーでも有名なスペインの都市といえば？",バルセロナ
685,イタリアの長靴の先にある島は？,シチリア島 
686,ベルギー・オランダ・ルクセンブルクをまとめて何という？,ベネルクス三国
687,国際連盟の本部があったスイスの国際都市は？ ,ジュネーブ
688,西ヨーロッパの永世中立国を2つ答えなさい。,"スイス,オーストリア"
689,2006年冬季オリンピックが開催されたイタリアの都市といえば？,トリノ
690,1994年冬季オリンピックが開催されたノルウェーの都市といえば？,リレハンメル
691,グリーンランドはどこの国の領土？,デンマーク
692,水の都とも言われる映画祭でも有名なイタリアの都市は？,ベネチア(ベニス)
693,地中海沿岸にあるフランス最大の港湾都市といえば？,マルセイユ
694,ビートルズ生誕の地として知られるイギリスの都市は？,リバプール
695,イギリスを構成する4つの地域,"イングランド,ウェールズ,スコットランド,北アイルランド"
696,ヨーロッパとアフリカの間の海といえば？,地中海
697,西ヨーロッパの東西を連なる山脈は？イタリアとドイツの境界にある。,アルプス山脈
698,フランスとスペインの間にある山脈といえば？,ピレネー山脈
699,ギリシャとトルコの間の海。かつて文明が栄えたことでも知られる。,エーゲ海
700,ノルウエーの西岸などに見られる、氷河にけずられた谷に海水が入りこんできた湾のことを何というか？,フィヨルド
701,英仏海峡とも呼ばれる海峡といえば？,ドーバー海峡
702,アルプス山脈から北へ流れ北海に流れつく国際河川は？,ライン川
703,アルプス山脈から東へ流れ黒海に流れつく国際河川は？,ドナウ川
704,ノルウェー・スウェーデンが含まれる半島と言えば？,スカンジナビア半島
705,ヨーロッパ南東部の旧ユーゴスラビアやギリシャなどが含まれる半島は？,バルカン半島
706,ヨーロッパ西岸部に向かって流れる暖流を何という？,北大西洋海流
707,北海とバルト海を挟むデンマークの大部分を占める半島は？,ユトランド半島
708,スペインとモロッコの間にある海峡は？,ジブラルタル海峡
709,イタリアの南北にわたる山脈といえば？,アペニン山脈
710,イギリスやノルウェーの石油産出地として知られる海は？,北海
711,フランス北東部にあるワインなどの名産となっている地方といえば？,シャンパーニュ地方
712,ロンドンを流れるイギリスの有名な川は？,テムズ川
713,オランダの、国土の約1/4の海面よりも低い土地を何というか？,ポルダー
714,ドイツ・デンマークなどヨーロッパ北部に居住している民族は？,ゲルマン人
715,ロシア・ウクライナなどヨーロッパ東部に居住している民族は？,スラブ人
716,イタリアなどヨーロッパ南部に居住している民族は？,ラテン人
717,ヨーロッパ北部に広まった１６世紀に生まれたキリスト教の新しい宗派は？,プロテスタント
718,ヨーロッパ南部に信仰者がいるキリスト教の宗派は？,カトリック
719,ドイツのライン川流域にあるヨーロッパ最大の工業地域を何というか？,ルール工業地域
720,ヨーロッパで見られる牧畜と穀物の栽培を組み合わせた農業を何というか？,混合農業
721,イギリスとフランスの海底をつなぐトンネルを何と言う？,ユーロトンネル
722,オランダのライン川河口にあるＥＵ最大の港を何と言う？,ユーロポート
723,ノルウェーやスウェーデンなどの高緯度地域で見られる、太陽がほとんど沈まない明るい夜のこと,白夜
724,1889年に建設されパリのシンボルとなっている塔は？,エッフェル塔
725,ナポレオンが建設したものが特に有名なパリのシンボルとなっている門は？,凱旋門
726,フランス国内を走る高速鉄道を何というか？,TGV
727,ドイツ国内を走る高速鉄道を何というか？,ICE
728,ドイツ・オーストリア・スイスなどに広がる高速道路網を何というか？,アウトバーン
729,ドイツ南部にある観光街道といえば？,ロマンチック街道
730,ローマ街道の中でも最も有名なもののひとつ。街道の女王と呼ばれた。,アッピア街道
731,バルセロナにある建築家ガウディの未完作品の建造物といえば？,サグラダ・ファミリア
732,ロンドンにあるウェストミンスター宮殿の時計台の愛称といえば？,ビッグ・ベン
733,アメリカ合衆国で一番人口が多い都市は？,ニューヨーク
734,アメリカ合衆国で二番目に人口が多い都市は？,ロサンゼルス
735,アメリカ合衆国で三番目に人口が多い都市は？,シカゴ
736,自動車の街とも言われるミシガン州の大都市は？,デトロイト
737,石油工業が盛んで宇宙センターがあるテキサス州南東部にある港湾都市は？,ヒューストン
738,ハワイ州の州都でありハワイ最大の都市といえば？,ホノルル
739,ネバダ州の砂漠地帯にあるギャンブル施設がある観光都市といえば？,ラスベガス
740,1996年夏季オリンピックが開催されたジョージア州にある都市といえば？,アトランタ
741,2002年冬季オリンピックが開催されたユタ州の都市といえば？,ソルトレイクシティ
742,カリフォルニア州ロサンゼルス郡の西部に位置する高級住宅街が並ぶ都市といえば？,ビバリーヒルズ
743,"ロサンゼルス,サンフランシスコ,サンディエゴなどの大都市がある州は？",カリフォルニア州
744,イチローが所属していたシアトル・マリナーズのシアトルは何州にある？ ,ワシントン州 
745,気候区分では亜熱帯・熱帯に属す、アメリカ南東部の州は？,フロリダ州
746,アメリカの歴史のある都市の一つ。郊外のケンブリッチ市にはハーバード大学やマサチューセッツ工科大学がある港湾都市。,ボストン
747,2010年冬季オリンピックが開催されたカナダの都市は？,バンクーバー
748,南北アメリカの国々では初めて社会主義国といえば？,キューバ
749,鉄鋼業が盛んなアメリカペンシルベニア州の都市は？,ピッツバーグ
750,カナダで唯一公用語をフランス語にしている州は？,ケベック州
751,"年間を通してオーロラの出現率が高いことで知られる,カナダのノースウエスト準州の州都は？",イエローナイフ
752,アメリカ合衆国の州で一番面積が広いのは？,アラスカ州
753,アメリカ合衆国の州で二番面積が広いのは？,テキサス州
754,マリアナ群島の最大の島。観光地として有名。,グアム
755,北アメリカ大陸の西側のカナダからメキシコにかけて連なる山脈は？,ロッキー山脈
756,アメリカ合衆国の東部に連なる山脈は？,アパラチア山脈
757,北アメリカで最も長い川は？,ミシシッピ川
758,北アメリカ最高峰の山は？,デナリ(2015年まではマッキンリーと呼ばれていた)
759,アメリカとメキシコの国境となっている川は？,リオグランデ川
760,アメリカとカナダの国境となっている五大湖から大西洋まで流れる川は？,セントローレンス川
761,アメリカの五つの湖の五大湖を西(上流)から順に？,"スペリオル湖,ミシガン湖,ヒューロン湖,エリー湖,オンタリオ湖"
762,ロッキー山脈の東側とプレーリーの間を南北に広がる台地状の大平原の事を何というか？,グレートプレーンズ
763,北アメリカ大陸中央部、グレートプレーンズの西側に広がる長草の温帯草原地帯を何というか？,プレーリー
764,アメリカ合衆国の南東部に突き出た半島。ケネディ宇宙センターがある。,フロリダ半島
765,アメリカ・カナダの国境にある世界的観光地となっている滝といえば？,ナイアガラ滝
766,ハワイ諸島のオアフ島、ホノルル市の南東部にある海水浴場で有名な海岸といえば？,ワイキキビーチ
767,コロラド川の浸食作用によって削り出されたアメリカ合衆国アリゾナ州北部にある峡谷といえば？,グランドキャニオン
768,ハワイのオアフ島の観光名所である火口付近の結晶の輝きから間違えて命名された火山といえば？,ダイヤモンドヘッド
769,アメリカにある世界最古の国立公園。様々な間欠泉や温泉で有名。,イエローストーン国立公園
770,"メキシコ,グアテマラ,ベリーズにまたがる半島。マヤ文明の遺跡がある。また、恐竜が絶滅した巨大隕石が落下した地でもある。",ユカタン半島
771,アメリカ合衆国の国旗のことを何という？,星条旗
772,アメリカ合衆国の州の数は？,50
773,アメリカ合衆国の建国時の州の数は？,13
774,カリブ海と太平洋を結ぶ運河,パナマ運河
775,北アメリカ先住民の主要グループの呼称は？,インディアン
776,アラスカ北部の先住民といえば？,イヌイット
777,スペイン語圏からアメリカ合衆国に渡ってきた移民を何というか？,ヒスパニック
778,半導体産業が盛んなカリフォルニア州サンノゼ周辺一帯の通称。,サンベルト
779,映画産業の中心地であるロサンゼルスにある地区を何というか？,ハリウッド
780,ニューヨーク証券取引所がある、世界の金融の中心街は？,ウォール街
781,メキシコ料理におけるサンドイッチに似た軽食向けのスパイシーな料理といえば？,タコス
782,メキシコ湾やカリブ海で発生する熱帯低気圧が発達したものを何というか？,ハリケーン
783,ボストンからワシントンまでの大西洋沿岸の大都市群を何と呼ぶ？,メガロポリス
784,アメリカの由来となった人物は？,アメリゴ・ヴェスプッチ
